species,clade,family,crown.illumination,T50,Tcrit
Pontederia cordata,monocot,Pontederiaceae,5,52.72,43.69
Psychotria nervosa,dicot,Rubiaceae,2,49.5,44.78
Psychotria viridis,dicot,Rubiaceae,2,51.7,38.59
Ravenia spectabilis,dicot,Rutaceae,2.5,51.33,42.18
Rhus sp,dicot,Anacardiaceae,4,51.61,46.73
Sanchezia sanmartinensis,dicot,Acanthaceae,2.5,53,44.58
Schaefferia frutescens,dicot,Celastraceae,2,52.62,43.67
Schinus terebinthifolia,dicot,Anacardiaceae,4,50.42,39.15
Securidaca diversifolia,dicot,Polygalaceae,5,47.68,41.65
Seemannia sylvatica,dicot,Gesneriaceae,4,49.13,42.72
Solandra maxima,dicot,Solanaceae,2,49.29,42.54
Stachytarpheta jamaicensis,dicot,Verbenaceae,4,50.06,39.11
Stigmaphyllon sagraeanum,dicot,Malpighiaceae,5,54.58,34.3
Strelitzia reginae,monocot,Strelitziaceae,5,51.78,46.32
Swietenia macrophylla,dicot,Meliaceae,5,53.1,44.49
Swietenia mahagoni,dicot,Meliaceae,5,51.51,43.1
Swinglea glutinosa,dicot,Rutaceae,5,52.04,47.82
Tabebuia heterophylla,dicot,Bignoniaceae,5,51.49,42.25
Tabebuia rosea,dicot,Bignoniaceae,5,52.43,40.49
Taxodium distichum,gymnosperm,Cupressaceae,5,54.01,45.39
Thunbergia grandiflora,dicot,Acanthaceae,3,48.52,43.4
Trema micrantha,dicot,Cannabaceae,3,50.54,41.12
Triplaris cumingiana,dicot,Polygonaceae,5,53.42,41.85
Zamia pumila,gymnosperm,Zamiaceae,5,54.15,46.43
Zanthoxylum coriaceum,dicot,Rutaceae,5,47.49,42.82
Zingiber sp,monocot,Zingiberaceae,3,52.38,43.13
